title,transcript,likes,comments,views,duration_sec,total_claims,false_claims,label
video,"Here are the dark truths about ADHD and socializing that no one talks about. Number one, masking exhaustion. You spend the whole social interaction pretending to be normal, matching tone, energy, even facial expressions. And the second you get home, you crash, like full shutdown, social battery gone. Number two, replaying convos like it's a crime scene. You overthink everything you said. Was I too much? Did I interrupt? Did I trauma dump again? You're not overreacting. Your brain just doesn't know how to let it go. Number three, you either overshare or shut down completely. There's no middle ground. You're either spilling your whole life story to a stranger or sitting there like a frozen NPC. It's not rudeness. It's executive dysfunction in real time. If you aren't following me, we may not see each other ever again. It's your choice.",20900,333,295100,61,5,5,4
video,"Alright, today we're talking about ADHD and IBS or irritable bowel syndrome. So researchers behind me did a meta-analysis containing 11 studies and over 3.85 million people, including over 175,000 people who had ADHD to see whether ADHD was linked to intestinal disorders. Overall, people with ADHD had about a 25% higher likelihood of intestinal disorders in general, but when researchers looked specifically at IBS, the association was much stronger. So people with ADHD had 63% higher odds of having IBS compared to people without ADHD. What was also interesting is that researchers expected to see higher rates of many different types of intestinal disorders, but they didn't. The strongest and most consistent association was specifically with IBS, not necessarily Crohn's or celiac, but there still was that 25% increased risk. So why is this? So one possible explanation is the gut-brain axis, and this is the constant communication between your brain and your digestive system. Researchers also think differences in the nervous system, stress response, and gut microbiome may play a role as well, but we are not sure yet. So again, they're not showing that IBS causes ADHD or vice versa, right? It sounds like there is some underlying biology there, but we are not quite sure yet. So they also pointed out a few limitations in this study, though. Most of the studies looked back at existing medical records rather than following people over time, so it wasn't necessarily longitudinal. They used different methods to diagnose ADHD, so it could have been using the DSM or the ICD, and a lot of the people came from Asia. So more research, of course, is still needed.",112,8,1905,99,5,1,1
video,"According to psychology, one of the hardest parts of having ADHD is this. When you really care about someone, your brain doesn't just notice them. It locks in on every single little detail. How fast they text back, their tone, if they used a period instead of an emoji today. Tiny shifts start feeling like breaking news. And the wild part is that you're not trying to be crazy. Your brain just turns connection into a full-time job. ADHD doesn't only mess with focus. It messes with emotional regulation. You don't just feel things, you feel the whole thing. So one dry text can have you replaying an entire week. Did I say too much? Did I seem off? Are they over it? You want connection more than anything, but the fear of losing it makes you study it like an exam that you're failing. It's your nervous system trying to protect you from being blindsided again, even when the love isn't actually leaving. And everyone needs to be sympathetic because behind every overthinker, there's someone who just wants to relax into being loved. If this is you, you're not broken. You care deeply and your wiring has the volume turned way up. Learn to notice when your brain is spiraling and don't punish yourself for it. Give people a chance to clarify instead of arguing with them in your head. And I want you to remember this, the right person won't make you beg for reassurance under any circumstances. ",54800,195,388700,64,6,4,3
video,"If you ask folks who have ADHD, how's your memory? Often they'll say, I've got the best memory in my family. I can remember stuff nobody else can remember. But even though they might be very good about remembering some things like that from a long time ago, if you ask them about something that happened just a couple of minutes ago or yesterday, often they can't tell you. The problem with memory, with ADHD, is not with long-term storage memory. It's with short-term working memory. Or they'll read something. They understand it perfectly well at the moment that they read it. They read a few more pages, stop for a second, and realize their eyes have gone over every word, and they haven't got the foggiest idea of what they just read. They'll go over it and quiz them. They've got it. They go into class the next day thinking they're going to get a good grade on this, and all of a sudden a big chunk of what they knew the night before has evaporated. Can't pull it out of their head when they need it. It's not that they didn't have it. It's they couldn't retrieve it when they needed it. Or you're getting ready to go someplace.",166700,0,1500000,51,5,4,3
video,ADHD Explained with Cats Kitty Try Focus Book Open Then Fly Buzz Then Floor Feel Weird Now Kitty Under Bed Kitty Not Lazy Kitty Brain Just Fast Too Fast Kitty Forget Task Start New One Forget Again Brains Say Do All Then Nap Then Remember Something Kitty Not Bad Just Wired Wild Noise Too Loud Then Not Loud Enough Time Slippery Five Minute Feel Like Forever Or Blink And Whole Day Gone Some Days Kitty Sparkle Bright Other Days Kitty Feel Blur Thoughts Zoom Then Vanish Kitty Need Kindness Not Cage Just Rhythm Just Space Kitty Not Broken Just Zoom Different,893200,5116,5600000,62,7,2,2
video,"People with ADHD like to stay awake later than neurotypicals and this has puzzled researchers for 20 years until now. They have recently discovered that the reason people with ADHD are often up late into the night actually has nothing to do with sleep but more about the fact that the quietness of the night allows their brain to finally feel safe enough to focus. During the day there's expectations, there's pressure, there's perceived threats. During the day the ADHD nervous system is trying to survive, making sustained focus very hard. But at night it's peaceful, the nervous system finally has time to relax and the ADHD brain can get its best work done. The night time piece is quite addictive so the ADHD person will then delay sleep because it finally feels safe. This is called revenge bedtime procrastination. So the ADHD person will often be awake until the sun comes up but we shouldn't feel shame about this. You're not lacking discipline, you're just chasing the calm.",85400,1442,566600,53,8,7,4
video,"People with ADHD, yes, they are distractible. Yes, they are impulsive. Yes, they are easily annoyed by things happening in the room. They sometimes have a high level of emotionality as well. Not always, but often. However, people with ADHD can have a hyper focus, an incredible ability to focus on things that they really enjoy or are intrigued by.",1400000,9794,11300000,25,5,1,1
video,"Three things you won't believe are related to ADHD. You know that feeling when you think everybody hates you and you've just done something wrong? That might just be rejection sensitivity dysphoria. You know when somebody tells you their name and you immediately forget it? That might be a deficit in working memory. Have you ever noticed that you just cannot get started with things that you're meant to do, but if there's an element of competition or urgency you can slam through it? That might be because of an interest-based nervous system.",465000,2512,4000000,25,3,3,4
video,"How to understand ADHD overwhelm in 35 seconds. This pen represents a neurotypical brain and the tip of the pen represents a thought. The neurotypical brain only has one tip, one thought, and because of that, it's easy for that thought to turn into an action. This pen represents an ADHD brain. This brain has many thoughts, all trying to start an action at the same time. This thought is, I need to clean my flat. This thought is, I need to return that item of clothing I don't like. This thought is, I need to drink water. This thought is, I need to unpack that suitcase. This thought is, I need to text my friend back. This thought is, I need to pay that parking ticket. And because all of these thoughts are happening at the same time, it creates a chaos inside, which blocks any of the thoughts from turning into an action. And therefore, nothing gets done. That is ADHD overwhelm.",120800,3375,2400000,70,2,2,4
video,"ADHD burnout is not being tired. It's not stress. It's not laziness. ADHD burnout is nervous system overload. An ADHD brain runs at a higher baseline. More input, more processing. Less filtering. Your nervous system stays in fight or flight for years, even when nothing is wrong. That constant state burns through dopamine, cortisol regulation, and emotional control. You cope, you mask. You push until the system can't compensate anymore. And then the crash comes. Your brain shuts down tasks it can't sustain. Focus disappears. Motivation collapses. Basic things feel impossible. Not because you don't want to. Because your brain cannot engage. Your emotional regulation fails. Small things feel catastrophic. Your tolerance for stress drops to zero. This is not psychological weakness. This is neurological overload. Pushing through burnout makes it worse. It increases anxiety, depression, and physical symptoms. Left untreated, ADHD burnout can trigger panic disorders, cardiac symptoms, and complete functional collapse. This is why people suddenly can't work. Can't cope. Can't function. Not because they gave up. But because their nervous system did. ADHD burnout is a medical warning sign. Not a character flaw. Ignoring it is dangerous. Recovery requires support, not pressure. If this feels familiar, you are not broken. Your brain has been in survival mode for too long. This is ADHD burnout. And it deserves to be taken seriously.",301,14,6756,87,14,14,4
video,"The truth is ADHD is not even an attention deficit disorder at all. It's an attention overload disorder. Kids and adults that have this condition of attention deficit or attention deficit hyperactivity disorder, they don't have a problem paying attention. They have a problem paying attention to too many things. In our mind, we not only create thought, but we also dismantle thought. It is just as important to be able to dismantle the neurotransmitters of thought as it is to create the neurotransmitters of thought. Because if I am creating thought at a faster rate than I'm dismantling it, then I have too many conversations going on in my head. ",36700,492,803800,34,2,2,4
video,"First, you need to be much more consistent with your rules and consequences in raising this child than normal parents need to be. And that's not because you're going to engineer the ADHD out of the child. It's because you're going to make this child less disabled from their ADHD by doing that. ADHD is not information deficit disorder, so kindly shut up. Act, don't yak. The more you blather, the more you natter, the more you nag, the less influence you have. So stop thinking that one more sentence will be enough to tip the scales in favor of obedience. It isn't, right? If I can just say it one more time, I know he'll listen. So on the 20th time, there you are, fingers crossed behind your back. So say it once, then back it up. What these kids listen to more than anything are the immediate consequences, not the nattering, not the nagging, not the moral essays on why you should clean up your room to avoid meningitis. Now, with ADHD children, you've got to get their attention. One of the easiest ways to do it and also an affectionate way is to touch them. So I want you to put your hand on their arm, on their hand, or around their shoulder. When you talk to them, I want you to look in their eye, and with that Clint Eastwood look, I want you to keep it short and sweet. What do you want done? What are you trying to say? Or is this positive feedback? Is this approval? Is this recognition? Is this praise? But touch, then talk. Keep it short. Keep it sweet. Get to the point. And then back it up.",69500,685,1200000,93,3,3,4
video,"Okay, so here's the deal. If you want to make a change in your child's ADHD, even the slightest dent, you must understand this non-negotiable fact. And that is that ADHD is not a behavior disorder. It is a neurological disorder. It is a disorder of physiology. It is a disorder of biology. Your child has ADHD. ADHD has differences in the brain. These differences in the brain are what cause the behaviors. And usually the behaviors are either because of an unmet need, often a skill that they're lacking, or it's because of difficulty with impulses. Often these behaviors are not your child's choice and they are not in their control. Just as if your child became blind, you would not ask them to try harder to see and then get upset with them when they weren't successful. We need to understand that ADHD is a difference in the brain. And when we understand those brain differences, then we know how rewards, punishment, and consequences work for our kids with ADHD. And I want to be clear that this is not using ADHD as an excuse. We're not putting our hands up in the air and saying we're excusing all of our kids' negative behavior. We're just going to understand it better so that we can handle it better.",36900,707,763000,89,5,3,3
video,"They don't do things until someone's mad at them to get it done. They need stress in order to get stuff done. And that just makes everybody around them stressed. And it makes them stressed because, you know, they're often late because they actually don't start getting ready until it's like, oh, my God, I'm late. And then they always show up like either right on time, flustered or 10 minutes late, always apologizing.",215200,2748,2500000,28,4,4,4
video,"People with ADHD are way more likely to wear the same clothes on repeat. I do this all the time. Especially when I'm on holiday, I'll pack a whole range of different clothes and basically the first outfit I pick, I'm just like, I feel safe in this. I'm going to keep wearing this outfit. It's down to decision fatigue. So having the same clothes every day cuts that out. My best advice for this is try and make everything hang up. Nothing's folded. As soon as it's folded, you're not seeing it. You never pick it. If it's all there, you can swish through and there's like a slightly better chance of you actually picking something different instead of just the same stuff on the clothes chair. Which to be honest is huge.",61100,821,1000000,39,3,3,4
video,"Trendy ADHD vs Real ADHD Trendy ADHD I'm so hyper. I just have energy all the time Actual ADHD Some days I can't even get up My brain drains me so much that some days it even feels impossible to get dressed ADHD isn't just bouncing off the walls It's mental exhaustion that leaves you stuck even when you want to move Trendy ADHD I thrive at social events I have the biggest personality and I just can't stop talking Actual ADHD Social events make me freeze up I overthink every word but nothing comes out Too many voices, too much noise So many unspoken rules It's overwhelming and all I want to do is leave Trendy ADHD Oops, I'm always late, silly me Actual ADHD Being late gives me anxiety I either get ready hours early or I misjudge how long it's going to take Time blindness makes planning feel impossible Trendy ADHD Oops, I just forget everything That's ADHD Actual ADHD I either forget everything Or I remember completely useless details Like what shirt somebody was wearing at a party 10 years ago I'll forget my doctor's appointment But I'll remember that silly joke that I told you in 2014. ADHD is more than just quirky habits, it's real, it's complicated, and it is different for everyone.",54400,1189,618100,83,7,7,4
video,"The hallmark features of ADD or ADHD. The first one is short attention span. It's really hard to focus, but not for everything. And this is what fools people. It's short attention span for regular, routine, everyday things. Schoolwork, homework, paperwork, chores. The things that make life work. And if you have a half an hour of homework, parents will often say it takes him or her two hours to do. But for things that are new, novel, highly stimulating or frightening, people with ADD can pay attention just fine because they have their own intrinsic dopamine. The second is they're easily distracted. And what that means is they see too much. They hear too much. They taste too much. They smell too much. So they're constantly distracted by the world coming at them. The brain is really good at suppressing unnecessary noises or unnecessary thoughts. But when you're prefrontal cortex, so we'll talk about that, the front part of your brain, the front third of your brain, when it's sleepy, it can't sort of suppress the noise. So someone who has ADHD can't suppress it. Interesting. And so the world comes at them too much. And you see it with the clothes they wear. They hate seams and they hate tags because their body feels it. ",153500,1542,3000000,95,7,4,3
video,"I always thought that ADHD is that you can't pay attention. Same. That's not what it is at all. And so learning about what it is and learning that boys and girls present completely differently. There's an entire generation of women called the lost generation. And what happened is when they were studying ADHD, I guess in the late 60s and early 70s, they only looked at boys. And so boys tend to show the symptoms of ADHD around the age of seven. And it typically is around the hyperactivity or the inability to kind of like focus and control their body movements. Girls, on the other hand, don't start displaying symptoms until about the age of 12. And the symptoms are very different. Girls become inattentive but in a kind of daydreaming fashion. They become a little bit more disorganized. And they aim all of this back at themselves. And so as you become kind of more inward and you are inattentive and you're disorganized and you start to wonder what's wrong with you. And now plus the average age of girls for puberty is right around then too. So all this other stuff is starting to happen and hormones are starting to change. If you don't get properly diagnosed and treated, and by treated I mean the whole array of things that you can do, whether you're talking about medication or just the different habits that you can have or systems that you can develop to support yourself. If you don't get properly tested and you don't address it, do you know what the number one thing that happens? You develop anxiety.",109600,1181,1900000,108,9,4,3
video,"There's a very recent research, actually, I think it's from last year, showing that people with ADHD, about 80% of people with ADHD have differences in their sensory profiles, really significant differences. We've only just woken up to this. It used to be very much it was a feature of autism. People with autism have sensory differences. People with ADHD, major sensory differences, either hypo or hypersensitive to it might be touch, it might be taste, it might be smell, it might be noise, all sorts of different sensory experiences. And also increasingly understanding that actually the ability to perceive emotion in others is one of our senses. It is really, and it's to do with mirror neurons, our ability to mirror other people's emotional states and perceive and then process that and turn it into something meaningful. So that experience of being very emotionally sensitive, I used to talk about feeling emotionally porous, like I was a sponge, just soaking it up and then talk about the pretzel, that you're the sponge that soaks it up and then the pretzel adapts and then you lose any sense of self because you're always shape-shifting like a chameleon. That's very difficult to live with as an adult because you lose who you are. The corollary of that, I think, when you work through emotional sensitivity and you begin to recognise that it can be, it's not a gift, but there can be positives. And that speaks to some of the ADHD strengths around transcendence and spirituality that sometimes when you really open yourself to the world, what you open yourself to is magical in all of its awfulness and joy all at once. Is that everything, everywhere, all at once piece where you're like, wow, okay, that's a lot.",121600,1851,1100000,85,3,2,3
video,"What are some of the long term effects of leaving ADHD untreated? It's so sad because it's basically the big issues in our society from school failure, drug abuse, divorce, bankruptcy, incarceration, homelessness. And if we looked more at the brain, we'd go, we can do a lot better.",63600,738,1100000,22,6,4,3
video,Things not to do if you have ADHD Part 2. Stay up late. Very bad for your ADHD. Not think ahead. Only honor the moment rather than all the moment. Caffeine. Short-term benefit. Long-term problem. And the one big thing not to do. Start fights with people.,321500,7351,4900000,30,2,2,4
video,"So as a psychiatrist over the last 40 years, what are five things I would not do if I had ADD or ADHD? I wouldn't be sedentary. Exercise is the universal treatment for ADD. Seven types. Yes, there are seven types of ADD. I wrote about it in my book, Healing ADD. Exercise helps all of them. I would get off your phone. Gadgets addict you and they steal dopamine and ADD basically is a dopamine deficit disorder. I would not eat a lot of carbs like sugar, bread, pasta, potatoes, rice, fruit juice. Why? Because carbs raise serotonin in the brain and make you happy. But they also, serotonin and dopamine counterbalance each other as serotonin goes up, dopamine goes down. So you can't concentrate, but you sort of don't care that you can't concentrate and get things done. Eliminate the simple carbs. I would never take someone else's Adderall or someone else's Rinalyn. Never. Because you might have a different type of ADD and that might disrupt you, make you anxious, irritable, and actually cause relationship problems. And I would never give up hope because what I've seen based on the work we do at Amen Clinics, people with ADD get dramatically better when we target treatment to your brain. You can actually take an online test. We have our ADD type test. So helpful and it'll help you know what type of ADD you might have.",78000,1402,1400000,107,8,7,4
video,"Do we know what causes ADHD? It's genetic. People are not producing enough dopamine. And the medicines we use, like Ritalin or Adderall, they increase the availability of dopamine. Now, the problem is, is if you don't really have it, what you have is societally induced ADHD, the medicine will disrupt you and make you worse.",70800,598,1100000,25,4,2,3
video,"Hi, I'm a licensed therapist. Here are three things you probably didn't know about ADHD. Number one, people with ADHD tend to experience something called rejection-sensitive dysphoria. And what this means is that people with ADHD tend to be more reactive or hyper-reactive to criticism from other people. And the reasons for this are not entirely clear, but it has to do with the structures of the brain and the way in which people with ADHD internalize criticism over time. Number two, people with ADHD have something that's called neurodivergence. And neurodivergence is basically a word that describes people who have a brain that is different than the majority of the population. And it's not necessarily a bad thing. Which leads us to our next point, number three. People with ADHD are actually really skilled in hyper-focusing. Now, I know that doesn't sound like it makes sense. But ADHD is the inability to pay consistent attention. So like being able to pay consistent attention evenly over a whole day. But being able to hyper-focus on one thing is something they actually excel in. Thank you so much for watching.",566300,6488,5700000,59,6,4,3
video,"What does it mean? ADHD? Yeah, what is it exactly? Is it real? Oh, it's real. But what does it mean? Well... Like if someone has ADHD, it's not like you have herpes, right? Like you can say, oh, you got a disease. The medical profession, and a lot of the so-called experts think about it as a disease. Another one of these inherited diseases. In fact, they say it's the most heritable mental illness there is. And I say it's neither an illness, nor is it heritable. What is it? So tuning out is not a disease. So let me ask you a question, if I may. Okay. If I were to stress you right now, create stress, emotional difficulty or tension for you right now, what would be your options of dealing with that? If you get upset or I could leave. Exactly. You could fight back, flight or fight, yeah? But what if you didn't have those options? Yeah, then you're stuck. And what does the brain do when you're stuck like that? It gets distracted. It tunes out. Yeah, it tunes out. Infants can't help but absorb the stress of their parents. Right. They can't help it. What does an infant do? Could I have escaped or fought back? Could you have? All we could do is tune out. Yes. But when is this tuning out happening? When our brain is being developed. Right. And our brain, this is the part that nobody taught me in medical school, but it turns out that brain science now teaches us that the human brain develops under the impact of the environment. So the most salient feature of the environment that shapes the circuits of the human brain is actually the relationship with the parents. And that tuning out thing is programmed into the brain. And then 10 years later or 50 years later, we say, you've got this disease. No, you don't. You've got a coping mechanism that's no longer working for you.",290,1,15000,96,4,4,4
video,"If you have ADD or you have ADHD, I'll bet that no one has actually told you what it really is. So the neurotransmitters that create thought are actually neutralized through a process called methylation, one carbon metabolism, and we actually break this thought down. So if you are creating thought at a faster rate than you break thought down, then this means you're opening windows faster than you are closing them. So attention deficit disorder is actually not an attention deficit at all. It's the opposite. It's an attention overload disorder. It's too many windows open at the same time. And so if too many windows are opening at the same time, shouldn't the answer be, well, how do we close some of these windows? But that's not what we do. In modern medicine, we say, well, if the mind is racing, let's put an amphetamine into the body to race the central nervous system to match the pace of the mind.",2086,55,46300,49,4,4,4
video,"So I have patients with ADHD. I teach them very successfully to meditate. Now, a lot of these patients, when they come to me, they say meditation doesn't work for me because I can't get my mind to slow down and focus on one thing. It always wanders, to which I say, that's great. No problem. We're going to teach you meditation that's going to feel so easy for you. So let me ask you this. If I've got a kid, okay, who's running around and I want my kid to sit still, how do I get the kid to sit still? They shout at the kid. Okay, so then the kid sits still for a little while, then what happens? Runs off again. Absolutely. So how do I get a kid to sit still? When does a child sit? When it's playing a game. Okay, so we can engage it in some way. So like if, like this is why, I don't know if you've seen this, but in airports they'll have like these little play places. So the best way to get a child to sit down is to tell them to run. You run, go to the playground, go to the playground for an hour and then what will the child do? Naturally, I want to sit down. So when I'm teaching my patients with ADHD how to meditate, I don't tell them to slow down their mind. I tell them to move it as fast as you can. So I'll literally take my patients to a cafeteria. And we sit in the cafeteria. And I tell my patient, you have to pay attention to as many sounds as you can, as quickly as you can. I want you to hear every sound in the cafeteria. Don't miss a single one. Don't pay attention to what people are saying, but hear the words, hear this sound, hear this sound, hear this sound, hear this sound. So what I'm really telling their mind to do is run instead of sit still. Eventually what happens is they're paying attention to sound number one, then sound number two, sound number three, not fast enough, faster. You need to listen to 10 sounds in three seconds. Go faster, go faster, go faster, go faster. And eventually the mind gets tired. And then the mind naturally sits down. Easiest meditation in the world. Then they enter dhyana. So what are they doing in dharana? They're paying attention to sound number one, two, three, four, five, six, seven, eight, nine, ten, eleven, twelve, thirteen, fourteen. And then eventually the mind will calm down. It'll get exhausted. And then they'll enter dhyana. And then they've learned to meditate. So I think the reason that meditation doesn't work for people is because they haven't tried the right technique.",8897,143,122200,121,2,2,4
