condition,row_index,true_label,prediction,record_id,platform,title,transcript,total_claims,false_claims,signed_error,absolute_error,error_direction
A_LOGISTIC_REGRESSION,199,3,2,youtube:000199,youtube,Dr. Russell Barkley on ADHD Masking,the brighter people struggle with the disorder longer they're not beli nobody can think that they got as far as they did and have ADHD uh and therefore it's dismissed or trivialized or just go to Starbucks and get a coffee or get a good night sleep take a little omega-3 six oil you know just do something trivial none of which by the way works but the the issue here then is they will eventually crash uh it just takes longer for that crash to happen uh it might be College where we find that uh only about 10% of people with ADHD can complete a college program versus 40% of the population and it has nothing to do with Brilliance intelligence or knowledge it's the demands that college makes on Executive functioning and self-regulation are enormous and unless they um get special help at College they're usually out within one to two semesters they just can't handle the the demands,5,4,-1,1,underestimates_severity
A_LOGISTIC_REGRESSION,200,1,4,youtube:000200,youtube,Signs of ADHD in women that no one ever talks about #shorts #ADHD,eight signs of ADHD in women that no one ever talks about so let's talk about them you have an intense fear of letting others down or saying no no matter what you do you don't feel good enough you struggle to verbalize your own feelings and opinions sometimes you overshare or put your foot in your mouth you feel misunderstood but you long for connection you got good grades in school but you don't remember anything you learned you feel like you may have missed out on your passion and Colleen because so much of your energy has been hiding your struggles you have so many dreams and possibilities but you don't know where to start you're not crazy you're not too much you're not a hot mess you're not a drama queen and you're not alone,7,1,3,3,overestimates_severity
A_LOGISTIC_REGRESSION,203,1,2,youtube:000203,youtube,ADHD and Autism: Causes and Connection,ADHD and autism are neurodevelopmental disorders means that they start early in childhood and affect how your brain grows and functions examples of neurodevelopmental disorders include ADHD autism spectrum disorder or ASD intellectual developmental disorder and learning disorders it is common if you have one to have another one in fact there's a high prevalence of people with Autism Spectrum who also have ADHD the reverse is not as common for people with ADH D to also have ASD but people with ADHD can have features of autism spectrum without having the complete disorder both disorders are highly genetic meaning the genes from them are passed down through [Music] families,5,0,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,215,2,4,youtube:000215,youtube,How Aerobic Exercise Fixes ADHD Symptoms #ADHD #Exercise #BrainHealth,"If you have ADHD, while any movement is good, what if the type of exercise you choose could work even harder for your brain? As a health and rehabilitation psychologist, I'm going to show you the science of strategic movement and how it can fundamentally change the way you manage your ADHD. So, if you want to light up these key brain areas, what's the best way to do it? That's the question we're trying to answer. It's not about moving only. It's about moving with intention. So, let me say that one more time. It's not about just moving or any exercise, but it's about moving with intention. So, first up, let's talk about cognitively engaging exercises like racket sports. Studies have shown sports like tennis, badmington, or table tennis are incredibly powerful because they force you to track a ball. Okay, think about this. predict moves and coordinate your entire body in split second. So from a neurobiological standpoint, the more complex the movements, the more complex the synaptic connections your brain builds. These stronger, more efficient brain networks are then recruited to help you think and learn, improving your processing speed and focus long after your practice is over or the game is over. Next, we have classic aerobic activity. running, cycling, swimming provide an immediate boost in your ability to focus and manage impulses. Often times, some of these exercises need to be done for a longer period of time. So, this happens because aerobic activity reliably boosts dopamine and norepinephrine, particularly in the prefrontal cortex, which is your brain's hub for executive function. But it goes deeper. Exercise doesn't just give you more dopamine. It improves your brain's ability to use it by enhancing receptor sensitivity. I know that's a a lot of scientific terminology here. Let me break it down for a second. So, think of it like upgrading not just the keys, but the locks they fit into. So, the keys are the neurotransmitters like dopamine, norepinephrine, and the locks are basically the receptors on the cell. Okay? So when one neuron releases or increases the dopamine synthesis and secretion and dopamine travels to the next cell, it binds to those locks that we call receptor. So the sensitivity of the receptors get better. You're actively building a stronger, more resilient brain. Now I want to hear from you. What kind of movement or exercise has been a game changer for your ADHD? Share your experiences in the comments. Your story might just be the spark someone else needs to get started. And if you're into more science-based strategies for your ADHD, make sure to subscribe or follow us for more scientific based knowledge and interventions that may help your mental health as well as your physical health hopefully. Thanks guys.",5,2,2,2,overestimates_severity
A_LOGISTIC_REGRESSION,222,2,1,youtube:000222,youtube,Common ADHD Symptoms #adhd #adhders #adhdmanagement,what are some symptoms of ADHD being able to sit still especially in a calm or quiet environment constantly fidgeting been unable to concentrate on tasks excessive physical movement excessive talking being unable to wait for your turn acting without thinking and interrupting conversations for more information visit done the number one ADHD curve platform for ADHD diagnosis and personalized treatment plans with poor certified and ADHD car experienced clinicians now offering both in-person and virtual appointments go check that out,3,1,-1,1,underestimates_severity
A_LOGISTIC_REGRESSION,244,1,3,youtube:000244,youtube,How I Treat ADHD Without Meds (As A Psychiatrist),"saw a 16-year-old kid and the family was referred to us for ADHD treatment. And they had tried a couple of supplements with like some success, but the kid didn't really believe in them. And so we did a whole evaluation, right? And so I definitely think that he has ADHD like for sure. Inattention symptoms, some hyperactivity, but also a lot of impulsivity, some of the substance use associated with that, and a lot of irritability outbursts too associated. And so um you know, what we came to realize was that a lot of his diet that he was eating was like cheeseburgers and fries and um diet sodas, right? Drinking a lot of not a lot of alcohol, but was drinking some alcohol, right? Smoking some MJ as well. And uh sleep-wise, I think he was getting maybe decent sleep like 7-8 hours, but not like the 9 or 10 that kids need. And",3,0,2,2,overestimates_severity
A_LOGISTIC_REGRESSION,248,3,1,youtube:000248,youtube,What is HYPERACTIVE ADHD?,"One of the rarest forms of ADHD's hyperactive only ADHD. Most people have either hyperactive and inattentive ADHD, which is called combined or mixed ADHD, or they have inattentive only. Inattentive is what we think of when we typically think of ADHD. So, struggling with organizations, struggling to remember things, spacing out during conversations, stuff like that. But hyperactive ADHD is the other side of ADHD, where you're constantly moving, you constantly need to be doing something, you constantly have really impulsive decisions, you can't wait for other people to finish talking before you start talking. And people with hyperactive only have only those traits and none of the inattentive traits. So, they often don't get flagged for ADHD. Because they're not struggling to get stuff done, they're not really going to be procrastinating very often, they have clean rooms. But the difficulty comes from the fact that they are always on, always on the go, and they can never stop to rest or relax. With this subtype of ADHD, while you get a lot more done, you do tend to burn out very, very often and way more easily. If you have this subtype, comment your experiences down below.",9,4,-2,2,underestimates_severity
A_LOGISTIC_REGRESSION,262,3,4,tiktok:000012,tiktok,video,"According to psychology, one of the hardest parts of having ADHD is this. When you really care about someone, your brain doesn't just notice them. It locks in on every single little detail. How fast they text back, their tone, if they used a period instead of an emoji today. Tiny shifts start feeling like breaking news. And the wild part is that you're not trying to be crazy. Your brain just turns connection into a full-time job. ADHD doesn't only mess with focus. It messes with emotional regulation. You don't just feel things, you feel the whole thing. So one dry text can have you replaying an entire week. Did I say too much? Did I seem off? Are they over it? You want connection more than anything, but the fear of losing it makes you study it like an exam that you're failing. It's your nervous system trying to protect you from being blindsided again, even when the love isn't actually leaving. And everyone needs to be sympathetic because behind every overthinker, there's someone who just wants to relax into being loved. If this is you, you're not broken. You care deeply and your wiring has the volume turned way up. Learn to notice when your brain is spiraling and don't punish yourself for it. Give people a chance to clarify instead of arguing with them in your head. And I want you to remember this, the right person won't make you beg for reassurance under any circumstances. ",6,4,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,272,3,2,tiktok:000022,tiktok,video,"Okay, so here's the deal. If you want to make a change in your child's ADHD, even the slightest dent, you must understand this non-negotiable fact. And that is that ADHD is not a behavior disorder. It is a neurological disorder. It is a disorder of physiology. It is a disorder of biology. Your child has ADHD. ADHD has differences in the brain. These differences in the brain are what cause the behaviors. And usually the behaviors are either because of an unmet need, often a skill that they're lacking, or it's because of difficulty with impulses. Often these behaviors are not your child's choice and they are not in their control. Just as if your child became blind, you would not ask them to try harder to see and then get upset with them when they weren't successful. We need to understand that ADHD is a difference in the brain. And when we understand those brain differences, then we know how rewards, punishment, and consequences work for our kids with ADHD. And I want to be clear that this is not using ADHD as an excuse. We're not putting our hands up in the air and saying we're excusing all of our kids' negative behavior. We're just going to understand it better so that we can handle it better.",5,3,-1,1,underestimates_severity
A_LOGISTIC_REGRESSION,280,4,3,tiktok:000030,tiktok,video,Things not to do if you have ADHD Part 2. Stay up late. Very bad for your ADHD. Not think ahead. Only honor the moment rather than all the moment. Caffeine. Short-term benefit. Long-term problem. And the one big thing not to do. Start fights with people.,2,2,-1,1,underestimates_severity
A_LOGISTIC_REGRESSION,290,3,4,tiktok:000040,tiktok,video,"7 ways ADHD can affect your life from a licensed therapist. Number 7 constant distractions you start one task then something else grabs your attention and another and another before you know it you've got 12 mental tabs open and none of them are fully closed this makes getting anything done feel impossible. Number 6 craving stimulation ADHD makes boredom unbearable you're constantly seeking something new scrolling, snacking, jumping between activities but the more you chase stimulation the harder it gets to focus creating a never ending cycle. Number 5 forgetting important items or events you're always scrambling keys, appointments, deadlines it's not that you don't care but the ADHD brain struggles to keep track others might see it as rude but it's not intentional. Number 4 disorganization everywhere, your desk, your room, even your schedule it all feels like chaos the ADHD brain jumps from task to task leaving things unfinished this mess creates overwhelm and that overwhelm makes organizing even harder. Number 3 suppressing your fidgeting imagine sitting in a meeting fighting the urge to move or tap your fingers you don't want to seem rude so you hold it in but the harder you try to stay still the more uncomfortable it feels. Number 2 a short attention span long form content like movies, homework or work projects can feel unbearable even tasks you want to focus on feel like a running mental marathon. Number 1 impulsive decisions ADHD makes the present feel urgent you act on what feels good now without considering long term consequences it feels right in the moment but those choices can leave you frustrated later you ",7,4,1,1,overestimates_severity
A_LOGISTIC_REGRESSION,312,4,3,tiktok:000062,tiktok,video,"Women with undiagnosed or untreated ADHD die on average 9 years younger than a neurotypical woman and for a man it's around 7 years. How absolutely bonkers is that? And this is why when people go, oh it's just being a bit too sensitive, we're diagnosing everyone, we're making a big fuss basically about this thing. No, people die. And this is the thing that people don't talk about enough and I think we get so sucked into the conversation about attention and things and attention deficit. People die because they're not diagnosed and treated properly and this is something we need to wake up to. This article is a legit article from the British Medical Journal and it is showing the issue that we face. We have to change this. I can see that. I look at my life and how I was living, I would have ended up dead way younger. I was worried about dying at 40. ADHD is a real thing. It really is important and we need to diagnose people at a young age as children and give them the help they need to live a very different life and live a lot longer than they otherwise would.",4,4,-1,1,underestimates_severity
A_LOGISTIC_REGRESSION,322,4,3,tiktok:000072,tiktok,video,"If you ask most people with ADHD, what's the worst symptom they experience, it's usually not the impulsivity. It's usually rejection sensitivity dysphoria. Everyone gets sensitive. People go, oh, everyone's sensitive, Alex. Absolutely right. But in rejection sensitivity dysphoria, the effect of that rejection is crippling to your life to the point where you cannot function. It derails not only your day, but often your week and prevents you from living your life. So, you know, a good way of looking is that positive compliment from someone will feel neutral. A neutral compliment or neutral interaction with someone will feel negative. And a negative bit of feedback will feel completely crippling. Why does that happen? Part of it is because of the emotional dysregulation you have in ADHD at its core. It's a dysregulation disorder. So the executive functioning of the brain is disinhibited. It's poor. And so the ability to manage those emotions in a normal range is very difficult. The average five-year-old who's ADHD has 20,000 more negative interactions or comments or experiences because they have ADHD than someone who's neurotypical. So a child growing up very quickly learns that they're the naughty kid, lazy, frustration. Why can't you be like your sister? Why do you be like this? Why are you like this? And they learn that they are someone that is a problem. And therefore you see the world and constantly interact with the world as if you are really a problem.",6,6,-1,1,underestimates_severity
